id,idProject,refType,idResource,id_activity,rate,assignedWork,realWork,leftWork,plannedWork,realStartDate,realEndDate,idRole,dailyCost,assignedCost,realCost,leftCost,plannedCost
1,2,Activity,18,1,100,,17.25000,,17.25000,2018-01-08 00:00:00,2018-05-18 00:00:00,4,0.00,,,,
2,2,Activity,18,2,100,,44.25000,,44.25000,2018-01-15 00:00:00,2018-05-18 00:00:00,4,0.00,,,,
3,2,Activity,18,3,100,,27.00000,,27.00000,2018-01-02 00:00:00,2018-05-16 00:00:00,4,0.00,,,,
4,15,Activity,4,4,100,,,,,,,4,0.00,,,,
5,15,Activity,26,4,100,,,,,,,4,0.00,,,,
6,15,Activity,7,4,100,,,,,,,1,0.00,,,,
7,15,Activity,16,4,100,,0.50000,,0.50000,2018-01-22 00:00:00,2018-01-22 00:00:00,4,,,,,
8,15,Activity,4,5,100,,,,,,,4,0.00,,,,
9,15,Activity,26,5,100,,,,,,,4,0.00,,,,
10,15,Activity,16,5,100,,,,,,,4,0.00,,,,
11,15,Activity,7,5,100,,,,,,,4,0.00,,,,
12,15,Activity,4,6,100,,,,,,,4,0.00,,,,
13,15,Activity,26,6,100,,,,,,,4,0.00,,,,
14,15,Activity,7,6,100,,,,,,,4,0.00,,,,
15,15,Activity,16,6,100,,,,,,,4,0.00,,,,
16,15,Activity,4,7,100,,,,,,,4,0.00,,,,
17,15,Activity,26,7,100,,,,,,,4,0.00,,,,
18,15,Activity,16,7,100,,,,,,,4,0.00,,,,
19,15,Activity,26,7,100,,,,,,,4,0.00,,,,
20,15,Activity,4,8,100,,,,,,,4,0.00,,,,
21,15,Activity,26,8,100,,,,,,,4,0.00,,,,
22,15,Activity,16,8,100,,,,,,,4,0.00,,,,
23,15,Activity,7,8,100,,,,,,,4,,,,,
24,15,Activity,4,9,100,,,,,,,4,0.00,,,,
25,15,Activity,26,9,100,,,,,,,4,0.00,,,,
26,15,Activity,16,9,100,,,,,,,4,0.00,,,,
27,15,Activity,26,10,100,,13.00000,,13.00000,2018-01-02 00:00:00,2018-03-09 00:00:00,4,0.00,,,,
28,15,Activity,4,10,100,,2.00000,,2.00000,2018-01-02 00:00:00,2018-01-03 00:00:00,4,0.00,,,,
29,15,Activity,16,10,100,,4.25000,,4.25000,2018-01-05 00:00:00,2018-02-28 00:00:00,4,0.00,,,,
30,15,Activity,15,11,100,,2.50000,,2.50000,2018-02-11 00:00:00,2018-02-13 00:00:00,4,0.00,,,,
