"id";"idResource";"idProject";"refType";"refId";"rate";"assignedWork";"realWork";"leftWork";"plannedWork";"idle";"realStartDate";"realEndDate";"comment";"plannedStartDate";"plannedEndDate";"idRole";"dailyCost";"newDailyCost";"assignedCost";"realCost";"leftCost";"plannedCost";"billedWork";"notPlannedWork"
"1";"5";"1";"Activity";"1";"100";NULL;"21.00000";"0.00000";"21.00000";"0";"2014-04-20";"2014-05-20";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"4";"15";"4";"Activity";"4";"100";NULL;"131.00000";"0.00000";"131.00000";"0";"2014-04-01";"2014-12-05";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"6";"15";"4";"Activity";"6";"100";NULL;"21.00000";"0.00000";"21.00000";"0";"2014-04-17";"2014-12-31";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"8";"15";"4";"Activity";"9";"100";NULL;"4.00000";"0.00000";"4.00000";"0";"2014-04-11";"2014-06-24";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"9";"15";"4";"Activity";"10";"100";NULL;"2.00000";"0.00000";"2.00000";"0";"2014-11-20";"2014-12-18";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"12";"15";"4";"Activity";"13";"100";NULL;"14.50000";"0.00000";"14.50000";"0";"2014-04-28";"2015-01-02";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"13";"10";"5";"Activity";"14";"100";NULL;"7.00000";"0.00000";"7.00000";"0";"2014-04-01";"2014-04-10";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"14";"10";"5";"Activity";"15";"100";NULL;"12.00000";"0.00000";"12.00000";"0";"2014-04-11";"2014-04-30";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"15";"10";"5";"Activity";"16";"100";NULL;"1.00000";"0.00000";"1.00000";"0";"2014-04-16";"2014-04-16";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"16";"26";"5";"Activity";"17";"100";NULL;"21.00000";"0.00000";"21.00000";"0";"2014-05-02";"2014-05-30";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"17";"26";"5";"Activity";"18";"100";NULL;"0.00000";"0.00000";"0.00000";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"18";"26";"5";"Activity";"19";"100";NULL;"0.00000";"0.00000";"0.00000";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"19";"26";"5";"Activity";"20";"100";NULL;"0.00000";"0.00000";"0.00000";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"20";"26";"5";"Activity";"21";"100";NULL;"0.00000";"0.00000";"0.00000";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"21";"23";"5";"Activity";"22";"100";NULL;"67.00000";"0.00000";"67.00000";"0";"2014-05-02";"2014-09-04";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"22";"24";"5";"Activity";"23";"100";NULL;"0.00000";"0.00000";"0.00000";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"23";"24";"5";"Activity";"24";"100";NULL;"0.00000";"0.00000";"0.00000";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"24";"24";"5";"Activity";"25";"100";NULL;"21.00000";"0.00000";"21.00000";"0";"2014-05-02";"2014-05-30";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"25";"24";"5";"Activity";"26";"100";NULL;"0.00000";"0.00000";"0.00000";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"26";"28";"5";"Activity";"27";"100";NULL;"0.00000";"0.00000";"0.00000";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"27";"28";"5";"Activity";"28";"100";NULL;"0.00000";"0.00000";"0.00000";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"28";"28";"5";"Activity";"29";"100";NULL;"0.00000";"0.00000";"0.00000";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"29";"28";"5";"Activity";"30";"100";NULL;"0.00000";"0.00000";"0.00000";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"30";"28";"5";"Activity";"31";"100";NULL;"0.00000";"0.00000";"0.00000";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"31";"28";"5";"Activity";"32";"100";NULL;"0.00000";"0.00000";"0.00000";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"32";"28";"5";"Activity";"33";"100";NULL;"0.00000";"0.00000";"0.00000";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"33";"28";"5";"Activity";"34";"100";NULL;"0.00000";"0.00000";"0.00000";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"34";"28";"5";"Activity";"35";"100";NULL;"0.00000";"0.00000";"0.00000";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"35";"28";"5";"Activity";"36";"100";NULL;"0.00000";"0.00000";"0.00000";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"36";"29";"5";"Activity";"37";"100";NULL;"163.50000";"0.00000";"163.50000";"0";"2014-05-05";"2015-01-16";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"37";"22";"5";"Activity";"38";"100";NULL;"16.00000";"0.00000";"16.00000";"0";"2014-05-02";"2014-05-30";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"38";"21";"5";"Activity";"39";"100";NULL;"5.00000";"0.00000";"5.00000";"0";"2014-05-19";"2014-05-23";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"39";"21";"5";"Activity";"40";"100";NULL;"13.00000";"0.00000";"13.00000";"0";"2014-05-02";"2014-06-11";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"40";"21";"5";"Activity";"41";"100";NULL;"1.00000";"0.00000";"1.00000";"0";"2014-06-19";"2014-06-19";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"41";"8";"5";"Activity";"42";"100";NULL;"0.00000";"0.00000";"0.00000";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"42";"8";"5";"Activity";"43";"100";NULL;"0.00000";"0.00000";"0.00000";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"43";"8";"5";"Activity";"44";"100";NULL;"0.00000";"0.00000";"0.00000";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"44";"8";"5";"Activity";"45";"100";NULL;"0.00000";"0.00000";"0.00000";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"45";"8";"5";"Activity";"46";"100";NULL;"0.00000";"0.00000";"0.00000";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"46";"16";"7";"Activity";"47";"100";NULL;"169.25000";"0.00000";"169.25000";"0";"2014-05-02";"2015-03-05";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"47";"6";"7";"Activity";"48";"100";NULL;"196.50000";"0.00000";"196.50000";"0";"2014-05-02";"2015-03-31";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"48";"19";"7";"Activity";"49";"100";NULL;"44.25000";"0.00000";"44.25000";"0";"2014-05-02";"2015-02-02";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"49";"20";"8";"Activity";"50";"100";NULL;"232.50000";"0.00000";"232.50000";"0";"2014-04-21";"2015-03-31";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
